CV_Index,Job_Posting_Index,Similarity_Score
0,77039,0.301431803704594
1,23982,0.32881259546202335
2,0,0.0
3,9665,0.24435274472381138
4,7764,0.31615937693614365
5,11959,0.3257597306452518
6,0,0.0
7,0,0.0
8,74464,0.29239160155894556
9,0,0.0
10,98826,0.29170317751455693
11,0,0.0
12,0,0.0
13,81950,0.404780072789226
14,117337,0.5385324936100853
15,0,0.0
16,0,0.0
17,51764,0.41948050750423055
18,117337,0.5385324936100853
19,0,0.0
20,0,0.0
21,22169,0.28733651369646374
22,9665,0.28120805962652407
23,51964,0.274690701124044
24,38672,0.25665188185152665
25,35099,0.3254788496707983
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,32080,0.25400584278533794
31,101955,0.2579933091252122
32,0,0.0
33,0,0.0
34,0,0.0
35,51764,0.218275631219431
36,72794,0.29850160068967574
37,116439,0.25457810943794384
38,0,0.0
39,0,0.0
40,0,0.0
41,116439,0.3872887639047595
42,51764,0.26616173035896185
43,28888,0.47488288270252427
44,0,0.0
45,0,0.0
46,0,0.0
47,35099,0.3254788496707983
48,0,0.0
49,116439,0.22194111767000516
50,109104,0.42947916447425766
51,0,0.0
52,0,0.0
53,107400,0.31086416434695985
54,54126,0.3105846369151195
55,0,0.0
56,3589,0.22863738850874518
57,0,0.0
58,0,0.0
59,51964,0.274690701124044
60,116439,0.4524171128195773
61,118066,0.2557759457852169
62,0,0.0
63,65282,0.33576438572596295
64,6240,0.31327198364097775
65,0,0.0
66,111269,0.32159031709607716
67,0,0.0
68,69503,0.259132896959751
69,9665,0.3595763146305317
70,88489,0.23350449408082824
71,0,0.0
72,0,0.0
73,122208,0.2658105825143332
74,0,0.0
75,0,0.0
76,116439,0.3695454617232275
77,0,0.0
78,58750,0.21409441144520558
79,116439,0.3526444272854089
80,65282,0.2553457812993687
81,9665,0.23559113276067678
82,10638,0.2700477711355965
83,102668,0.3636097155609867
84,0,0.0
85,121111,0.40152321957635595
86,30366,0.43822602344171435
87,0,0.0
88,83406,0.3142438799965056
89,35099,0.3254788496707983
90,0,0.0
91,122208,0.2658105825143332
92,116439,0.5360800061909988
93,0,0.0
94,0,0.0
95,0,0.0
96,107400,0.31086416434695985
97,70105,0.3575101981239995
98,0,0.0
99,13123,0.24844961653320724
100,113152,0.22001076132017616
101,0,0.0
102,0,0.0
103,0,0.0
104,9665,0.30286687553275715
105,98826,0.29170317751455693
106,38672,0.25665188185152665
107,0,0.0
108,38186,0.39674132695490427
109,24559,0.25234230063227586
110,0,0.0
111,65282,0.24680881709399458
112,0,0.0
113,0,0.0
114,9665,0.24435274472381138
115,0,0.0
116,51764,0.32943752576338414
117,0,0.0
118,0,0.0
119,0,0.0
120,0,0.0
121,0,0.0
122,13123,0.24844961653320724
123,58750,0.21409441144520558
124,0,0.0
125,51764,0.41948050750423055
126,0,0.0
127,0,0.0
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,83406,0.3142438799965056
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,51764,0.4367029240016809
138,0,0.0
139,4767,0.273833460176085
140,6149,0.3316651550785715
141,61171,0.2642048144113733
142,0,0.0
143,0,0.0
144,38672,0.25665188185152665
145,0,0.0
146,103291,0.33192401704541014
147,116439,0.3695454617232275
148,0,0.0
149,0,0.0
150,96194,0.33464711259020824
151,0,0.0
152,0,0.0
153,116439,0.2708726717934001
154,117337,0.5385324936100853
155,0,0.0
156,116439,0.29317896827287226
157,9665,0.22535960835553803
158,0,0.0
159,0,0.0
160,38186,0.39674132695490427
161,9665,0.24435274472381138
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,0,0.0
168,0,0.0
169,51764,0.3558151329680522
170,0,0.0
171,116439,0.32440559549421305
172,0,0.0
173,0,0.0
174,116439,0.32440559549421305
175,58750,0.21409441144520558
176,65282,0.2676399369958258
177,0,0.0
178,121111,0.40152321957635595
179,51764,0.4138183577689251
180,0,0.0
181,121111,0.40152321957635595
182,0,0.0
183,53198,0.323898690753157
184,65282,0.2553457812993687
185,9665,0.28120805962652407
186,0,0.0
187,58004,0.3327594804442254
188,116439,0.3996679266107461
